What do you identify as?,Which better describes your parents?,Were either of your parents in STEM?,What is the highest level of education that either of your parents achieved?,What is your average household income (CAD) in 2021?,What was your high school admission average? [Top 6: including prerequisites!],Which extracurriculars did you do prior to coming to Waterloo? (Select all that apply),Were you part of any enrichment program in high school? (Select all that apply),Which of the following universities were among your top 3 programs that you applied to? (Select all that apply),Did you submit a video interview? ,How did you attend the majority of your last year of high school?,What format was your last year of high school in?,What is your University Average?,Final 1A Course Averages? [101],Final 1A Course Averages? [101L],Final 1A Course Averages? [111],Final 1A Course Averages? [113],Final 1A Course Averages? [121],Final 1A Course Averages? [161],Final 1A Course Averages? [181],Course Usefulness [101],Course Usefulness [101L],Course Usefulness [161],Course Usefulness [111],Course Usefulness [113],Course Usefulness [121],Course Usefulness [181],Course Difficulty [101],Course Difficulty [101L],Course Difficulty [161],Course Difficulty [111],Course Difficulty [113],Course Difficulty [121],Course Difficulty [181],Lectures Attended/Watched [101],Lectures Attended/Watched [101L],Lectures Attended/Watched [161],Lectures Attended/Watched [111],Lectures Attended/Watched [113],Lectures Attended/Watched [121],Lectures Attended/Watched [181],What percentage of live lectures/tutorials did you attend: [In-Person Synchronously],What percentage of live lectures/tutorials did you attend: [Online Synchronously],What percentage of live lectures/tutorials did you attend: [Online Asynchronously],Did your study habits improve over 1A?,Favourite Professor?,Least Favourite Professor?,Which round did you first get an interview in?,During which round did you accept your job?,Weirdest job interview question?,What kind of job did you accept?,What industry is your co-op in?,Are you happy with your co-op?,What is your pay? (CAD/hr),Did you participate in squydegame?,"If no, did you wish you did?",Did you help with the tagging of others?,Did you enjoy watching the action of the game?,Would you play next time?,What was your general stress level throughout the term?,"On average, how many hours of sleep do you get each night?",How many all-nighters did you pull this term?,How many days per week did you go outside?,Where did you live?,What percentage of the class could you name? (Intervals are in +10%),What percentage of your high school friends do you still keep in touch/are still friends with?,What percentage of your current friends are in SYDE?,Which of the following extracurriculars did you regularly (e.g. at least biweekly) engage in throughout the term? (Select all that apply),"Before coming to Waterloo, have you: [Drunk alcohol?]","Before coming to Waterloo, have you: [Smoked/Vaped?]","Before coming to Waterloo, have you: [Done drugs?]","Before coming to Waterloo, have you: [Had sex?]","Before coming to Waterloo, have you: [Had your first kiss?]","During 1A, did you: [Drink alcohol?]","During 1A, did you: [Smoke/Vape?]","During 1A, did you: [Do drugs?]","During 1A, did you: [Have sex?]","During 1A, did you: [Attend a university party?]","During 1A, did you: [Have your first kiss?]",How much did your rice purity score drop by between high school and the end of 1A? (You can check your rice purity score here: http://ricepuritytest.com/) Enter 0 if it did not drop.,How does your current experience with SYDE compare to what you expected it to be when you applied?,"Given the chance, would you apply to SYDE again?","If no, would you apply to another UW program instead? If so, enter the program you would apply to instead.",What is the biggest piece of advice/wisdom you would give to someone thinking about applying to SYDE?,What was your favourite assignment to complete?,"If you could describe 1A in one word, what would it be?"
Female,Immigrants,Yes,Graduate,$150 - 200K,97.3,"Volunteer experience, Sports, Club, Club Leader",IB,"McGill University, McMaster University, University of Toronto",Yes,Hybrid,Semesters,80.6,85 - 89%,80 - 84%,65 - 69%,70 - 74%,90 - 94%,75 - 79%,85 - 89%,3,4,6,2,2,7 (Very useful),2,7 (Very Easy),6,5,1 (Very Difficult),4,6,7 (Very Easy),5,3,7 (All or Nearly All),7 (All or Nearly All),4,3,2,51 - 75%,26 - 50%,76 - 100%,Yes,Sean Speziale,Matt Borland,1st Round,1st Round,Do you believe in Bigfoot? Are you hunter or gatherer? ,Software,Health,Yes,20,Yes,,Yes,Yes,Maybe,6,5,3,2,"With Family/Relatives, in-person learning",3,7,2,"Clubs, Syde Projects, Volunteer Work",No,No,No,No,No,No,No,No,No,No,No,2,5,Yes,,"Stop comparing yourself to others, it will only bring you down. ",101L Group Design Project ,Learning Curve 
Female,Immigrants,No,Undergraduate,$150 - 200K,98,"Volunteer experience, Performing/Visual Arts, Club, Club Leader",None,McMaster University,Yes,Hybrid,Semesters,83,90 - 94%,95 - 99%,75 - 79%,70 - 74%,85 - 89%,80 - 84%,80 - 84%,4,3,5,5,4,5,4,7 (Very Easy),7 (Very Easy),4,2,3,1 (Very Difficult),3,3,4,3,7 (All or Nearly All),7 (All or Nearly All),6,5,51 - 75%,51 - 75%,26 - 50%,No,Jason Foster,Christopher Nehaniv,2nd Round,2nd Round,,UI/UX,Banking/Financial,Yes,19,No,No,No,Yes,Maybe,6,7,0,3,UWP,3,9,6,"Arts, Hangouts with Friends",No,No,No,No,No,No,No,No,No,No,No,1,6,Yes,,,3D model vehicle for 101L,Rollercoaster 
Male,Immigrants,Yes,Undergraduate,$150 - 200K,96,"Volunteer experience, Sports, Eng Job/Tech Internship, Student Council",IB,"Queen's University, Western University",Yes,Hybrid,Octomesters,88.82,85 - 89%,85 - 89%,90 - 94%,80 - 84%,90 - 94%,75 - 79%,95 - 99%,2,5,7 (Very useful),7 (Very useful),6,7 (Very useful),5,7 (Very Easy),6,1 (Very Difficult),2,3,4,5,5,6,7 (All or Nearly All),7 (All or Nearly All),6,7 (All or Nearly All),6,76 - 100%,26 - 50%,76 - 100%,No,Jason Foster,Matt Borland,1st Round,1st Round,What is one thing you hate doing,Software,Health,Yes,17.5,Yes,,No,Yes,Yes,3,6,2,5,UWP,3,1,8,"Sports, Hangouts with Friends",Yes,No,No,No,Yes,"Yes, done it before",No,No,No,"Yes, for the first time",No,0,7,Yes,,Do itttttt! You won't regret it :),121 game project,Freedom
Female,Immigrants,No,Undergraduate,$50 - 100K,98.5,Performing/Visual Arts,None,"McMaster University, University of Toronto",Yes,Hybrid,Semesters,80,90 - 94%,85 - 89%,70 - 74%,70 - 74%,85 - 89%,80 - 84%,100%,3,5,7 (Very useful),4,4,7 (Very useful),4,6,6,5,1 (Very Difficult),2,1 (Very Difficult),6,1 (None or Nearly None),4,1 (None or Nearly None),4,4,4,4,76 - 100%,26 - 50%,0 - 25%,No,Sean Speziale,Matt Borland,1st Round,2nd Round,,UI/UX,Software,Yes,28,No,Yes,No,Yes,Yes,6,6,0,3,CMH,7,4,7,Hangouts with Friends,Yes,No,No,No,Yes,"Yes, done it before",No,No,No,"Yes, done it before","Yes, done it before",0,4,Yes,,,,chaotic
Female,Immigrants,No,Undergraduate,,97.3,"Volunteer experience, Sports, Performing/Visual Arts, Religious Activity, Club, Club Leader",None,"McMaster University, University of Toronto",Yes,Fully online,Quadmesters,3.9 GPA,90 - 94%,90 - 94%,90 - 94%,95 - 99%,95 - 99%,90 - 94%,85 - 89%,3,3,2,4,4,6,3,6,5,3,3,4,4,5,5,5,7 (All or Nearly All),7 (All or Nearly All),6,7 (All or Nearly All),7 (All or Nearly All),0 - 25%,76 - 100%,51 - 75%,Yes,Jason Foster,Christopher Nehaniv,1st Round,Continuous,,Software,Software,Yes,20.35,No,Yes,No,Yes,Maybe,5,7,0,3,"Normal living arrangements, did online learning",3,8,3,Hangouts with Friends,No,No,No,No,No,No,No,No,No,No,No,0,5,Yes,,Make friends! Everyone's very nice :),101L Vehicle Solid Model!,TsTs
Male,Native-born,Yes,Graduate,$150 - 200K,96,"Volunteer experience, Sports, Religious Activity, Club, Non-Eng Job",None,McMaster University,Yes,Hybrid,Semesters,87.82,90 - 94%,85 - 89%,85 - 89%,75 - 79%,90 - 94%,80 - 84%,95 - 99%,4,5,6,2,1 (Very useless),7 (Very useful),3,7 (Very Easy),6,4,2,1 (Very Difficult),5,3,1 (None or Nearly None),6,2,7 (All or Nearly All),4,2,2,26 - 50%,26 - 50%,51 - 75%,Yes,Nasim Paryab,Matt Borland,2nd Round,2nd Round,"If you were an emoji, what emoji would you be?",Software,Banking/Financial,Yes,26,No,Yes,Yes,Yes,Maybe,3,6,2,5,CMH,6,8,5,"Sports, Hangouts with Friends",Yes,Yes,No,No,No,"Yes, done it before",No,No,No,"Yes, for the first time",,0,5,Yes,,"Stay on residence, preferably at CMH.",101L Assignment 4 :),Movie 
Male,Immigrants,Yes,Graduate,$150 - 200K,97,"Volunteer experience, Sports, Performing/Visual Arts, Club, Club Leader, Non-Eng Job",IB,University of Toronto,Yes,Fully in-person,Full year,93,90 - 94%,90 - 94%,100%,100%,95 - 99%,80 - 84%,95 - 99%,3,4,3,7 (Very useful),7 (Very useful),7 (Very useful),1 (Very useless),6,5,1 (Very Difficult),5,5,6,6,1 (None or Nearly None),4,3,2,4,2,4,0 - 25%,0 - 25%,26 - 50%,No,Sean Speziale,,1st Round,1st Round,,Software,Software,Yes,18,No,Yes,Yes,Yes,Yes,2,10,0,7,UWP,6,8,3,"Sports, Design Team, Hangouts with Friends",Yes,No,No,No,No,"Yes, done it before",No,No,No,"Yes, for the first time",No,8,5,No,Software Engineering,Look at the undergraduate course calendar ,111,Lit
Female,Immigrants,No,Undergraduate,$100 - 150K,89,"Volunteer experience, Performing/Visual Arts, Club, Club Leader, Non-Eng Job, Eng Job/Tech Internship",AP,"McGill University, University of British Columbia",Yes,Hybrid,Quadmesters,86,95 - 99%,85 - 89%,75 - 79%,70 - 74%,75 - 79%,75 - 79%,95 - 99%,1 (Very useless),5,3,4,4,5,3,7 (Very Easy),4,3,4,2,2,3,1 (None or Nearly None),5,2,6,5,4,2,0 - 25%,51 - 75%,26 - 50%,Yes,Sean Speziale,Christopher Nehaniv,1st Round,1st Round,N/A ,Product Design,Software,Yes,22,Yes,,Yes,Yes,Yes,5,7,3,2,CMH,4,6,9,"Clubs, Hangouts with Friends, Volunteer Work",No,No,No,No,No,"Yes, for the first time",,,,"Yes, for the first time","Yes, for the first time",4,5,Yes,,Do your research! Not as design based as you may assume ,NameTags 101L ,
Female,Immigrants,Yes,Undergraduate,,97,"Volunteer experience, Performing/Visual Arts, Club, Club Leader",None,"McMaster University, University of Toronto",Yes,Hybrid,Semesters,,,,,,,,,1 (Very useless),4,2,5,5,5,3,5,5,3,2,4,3,4,1 (None or Nearly None),3,1 (None or Nearly None),2,4,1 (None or Nearly None),4,0 - 25%,0 - 25%,26 - 50%,No,,,1st Round,1st Round,,Software,Software,No,20,No,No,No,Yes,Maybe,3,10,2,2,Off-campus housing,1,5,1,,No,No,No,No,No,"Yes, for the first time",No,No,No,No,No,,4,Yes,,Expect marks to drop from high school,,Intense
Female,Immigrants,Yes,Graduate,$200 - 250K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Continous,Continuous,,Product/Project Management,Retail,Yes,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,Immigrants,No,Undergraduate,$50 - 100K,97,"Volunteer experience, Sports, Performing/Visual Arts, Club, Club Leader, Eng Job/Tech Internship",IB,"McMaster University, Ottawa/Carleton University, University of Toronto",Yes,Hybrid,Quadmesters,93,85 - 89%,90 - 94%,90 - 94%,95 - 99%,95 - 99%,85 - 89%,95 - 99%,1 (Very useless),5,2,7 (Very useful),6,6,6,5,3,3,5,4,5,4,2,2,2,7 (All or Nearly All),7 (All or Nearly All),3,7 (All or Nearly All),26 - 50%,26 - 50%,76 - 100%,Yes,Nasim Paryab,Matt Borland,2nd Round,2nd Round,Some riddle,Software,Cybersecurity ,Yes,19,No,No,No,No,Yes,4,6,2,3,CMH,9,8,2,"Sports, Hangouts with Friends",No,No,No,No,No,No,No,No,No,No,"Yes, for the first time",5,3,Yes,,Make friends ,111 problem sets,Fun
Male,Immigrants,Yes,Graduate,$100 - 150K,99.2,"Volunteer experience, Sports, Performing/Visual Arts, Club Leader",IB,"McMaster University, Queen's University",Yes,Fully in-person,Octomesters,95,90 - 94%,95 - 99%,95 - 99%,95 - 99%,95 - 99%,90 - 94%,95 - 99%,1 (Very useless),3,4,7 (Very useful),6,5,4,7 (Very Easy),5,2,2,4,3,7 (Very Easy),1 (None or Nearly None),7 (All or Nearly All),7 (All or Nearly All),7 (All or Nearly All),7 (All or Nearly All),6,7 (All or Nearly All),0 - 25%,26 - 50%,26 - 50%,Yes,Sean Speziale,Kate Mercer,2nd Round,2nd Round,Tell me about yourself.,Software,Telecommunications,Yes,23.25,No,Yes,Yes,Yes,Maybe,6,9,0,6,CMH,5,8,3,Hangouts with Friends,No,No,No,No,No,No,No,No,No,"Yes, for the first time","Yes, for the first time",9,6,Yes,,Sleep early!,101L Assignment 4,New
Female,Immigrants,Yes,Graduate,$150 - 200K,98,"Volunteer experience, Performing/Visual Arts, Club, Club Leader, Eng Job/Tech Internship","Gifted, IB",Western University,Yes,Hybrid,Quadmesters,88,85 - 89%,,,,,,,1 (Very useless),6,2,4,4,5,6,7 (Very Easy),5,5,4,3,4,7 (Very Easy),1 (None or Nearly None),6,1 (None or Nearly None),5,3,3,3,51 - 75%,26 - 50%,0 - 25%,No,Ewen MacDonald,,1st Round,1st Round,,Software,Banking/Financial,Yes,27,No,No,Yes,Yes,Maybe,5,6,1,7,CMH,2,9,3,"Clubs, Syde Projects, Hangouts with Friends",No,No,No,No,Yes,"Yes, done it before",No,No,No,"Yes, for the first time","Yes, done it before",1,2,Yes,,,,
Female,Immigrants,No,Undergraduate,$200 - 250K,97,"Sports, Club, Club Leader","AP, Private School","University of Toronto, Western University",Yes,Fully online,Semesters,90,90 - 94%,80 - 84%,90 - 94%,90 - 94%,90 - 94%,80 - 84%,95 - 99%,5,3,7 (Very useful),7 (Very useful),7 (Very useful),6,4,6,5,3,1 (Very Difficult),3,7 (Very Easy),6,1 (None or Nearly None),4,2,1 (None or Nearly None),7 (All or Nearly All),1 (None or Nearly None),3,0 - 25%,0 - 25%,76 - 100%,No,Nasim Paryab,Jason Foster,1st Round,1st Round,,information security ,Banking/Financial,No,21,No,No,Yes,Yes,Maybe,5,7,1,4,UWP,4,6,7,Hangouts with Friends,Yes,No,No,No,No,"Yes, done it before","Yes, for the first time",No,No,"Yes, for the first time",No,3,4,Yes,,,,
Male,Immigrants,No,Undergraduate,$300K+,96,"Volunteer experience, Sports, Performing/Visual Arts, Club",None,"McGill University, University of Toronto, Western University",Yes,Hybrid,Quadmesters,89,90 - 94%,80 - 84%,85 - 89%,85 - 89%,90 - 94%,75 - 79%,100%,3,5,4,7 (Very useful),7 (Very useful),7 (Very useful),7 (Very useful),7 (Very Easy),5,4,5,4,5,5,7 (All or Nearly All),7 (All or Nearly All),7 (All or Nearly All),7 (All or Nearly All),7 (All or Nearly All),7 (All or Nearly All),7 (All or Nearly All),0 - 25%,0 - 25%,76 - 100%,No,Sean Speziale,Matt Borland,1st Round,2nd Round,,Software,Software,Yes,80,No,No,No,No,No,5,9,7,1,"With Family/Relatives, in-person learning",1,0,7,,No,No,No,No,No,No,No,No,No,No,No,0,4,No,,,,
Male,Native-born,No,Graduate,$200 - 250K,99,"Volunteer experience, Sports, Club, Non-Eng Job",None,University of British Columbia,Yes,Fully in-person,Quadmesters,92.36,90 - 94%,90 - 94%,90 - 94%,85 - 89%,95 - 99%,90 - 94%,95 - 99%,2,4,7 (Very useful),7 (Very useful),4,7 (Very useful),6,7 (Very Easy),7 (Very Easy),5,2,1 (Very Difficult),7 (Very Easy),6,1 (None or Nearly None),7 (All or Nearly All),7 (All or Nearly All),5,7 (All or Nearly All),6,2,76 - 100%,76 - 100%,76 - 100%,No,Sean Speziale,Matt Borland,2nd Round,Continuous,What is your life philosophy?,Data Analysis,Education,No,18,No,Yes,No,Yes,Yes,7,7,0,6,UWP,4,9,1,Clubs,No,No,No,No,No,No,No,No,No,No,No,0,5,No,,,101L Vehicle Model,Stressful
Male,Native-born,No,Undergraduate,$50 - 100K,98,"Volunteer experience, Club, Club Leader, Non-Eng Job",IB,"Queen's University, University of Toronto, Western University",Yes,Hybrid,Quadmesters,90%,90 - 94%,85 - 89%,85 - 89%,90 - 94%,95 - 99%,80 - 84%,95 - 99%,2,5,4,4,5,7 (Very useful),5,7 (Very Easy),6,5,2,5,3,4,1 (None or Nearly None),7 (All or Nearly All),5,7 (All or Nearly All),6,6,4,26 - 50%,51 - 75%,26 - 50%,No,Nasim Paryab,Matt Borland,1st Round,1st Round,Explain your though process adding numbers consecutively from 1-10.,Software,Banking/Financial,Yes,26.67,Yes,,Yes,Yes,Maybe,4,7,0,7,UWP,4,9,2,Hangouts with Friends,Yes,No,No,No,Yes,"Yes, done it before",No,No,"Yes, for the first time","Yes, for the first time","Yes, done it before",15,5,Yes,Western Ivey,"It is as social as people say it is, don't go in with that expectation.",101L Assignment 4 (Make any CAD item),Balanced
Male,Immigrants,No,Undergraduate,$50 - 100K,91,"Volunteer experience, Sports, Club, Club Leader, Non-Eng Job, Eng Job/Tech Internship",IBT,"McMaster University, University of Toronto",Yes,Hybrid,Quadmesters,73,80 - 84%,75 - 79%,60 - 64%,65 - 69%,85 - 89%,70 - 74%,70 - 74%,2,5,6,5,5,2,3,7 (Very Easy),6,5,2,3,6,1 (Very Difficult),1 (None or Nearly None),3,3,3,3,2,1 (None or Nearly None),51 - 75%,26 - 50%,51 - 75%,No,Sean Speziale,Kate Mercer,Continous,Continuous,"He wanted me to come up with an AI to save his company for minimum wage (he didn't know how to code). He also spent the entire interview shit talking the past 8 devs he'd hired. Also shared his entire github repo with me and expected me to ""fix"" it for the interview (thousands of lines of code!).",Software,Agricultural Tech,Yes,22,Yes,Yes,Yes,Yes,Maybe,3,6,4,7,UWP,3,5,4,"Design Team, Syde Projects, Hangouts with Friends",Yes,Yes,Yes,No,No,"Yes, done it before",No,No,No,"Yes, for the first time","Yes, for the first time",9,5,Yes,,"If you're comfortable being a self learner, and not relying only on what you learn in the class the program will fit you",101L Assignment 3 (designing a vehicle),Alcohol
Female,Immigrants,No,Undergraduate,$100 - 150K,92,"Volunteer experience, Club, Club Leader, Non-Eng Job",None,"University of Toronto, College outside Canada",Yes,Hybrid,Quadmesters,81,85 - 89%,85 - 89%,70 - 74%,75 - 79%,80 - 84%,75 - 79%,85 - 89%,1 (Very useless),3,3,4,4,2,3,4,3,3,1 (Very Difficult),2,1 (Very Difficult),3,1 (None or Nearly None),3,2,4,4,4,1 (None or Nearly None),0 - 25%,0 - 25%,0 - 25%,No,Ewen MacDonald,Jason Foster,External Application,Direct Offer,,Software,Software,Yes,,No,Yes,No,Yes,Maybe,5,8,2,2,"Normal living arrangements, did online learning",1,9,1,"Syde Projects, Hangouts with Friends",Yes,No,No,No,No,"Yes, done it before",No,No,No,No,No,10,4,Yes,,,101L assignment 3,Tired 
Female,Immigrants,No,Graduate,$50 - 100K,97,"Volunteer experience, Performing/Visual Arts, Club, Club Leader",AP,"University of British Columbia, University of Toronto, College outside Canada",Yes,Hybrid,Quadmesters,87%,90 - 94%,75 - 79%,85 - 89%,85 - 89%,85 - 89%,80 - 84%,95 - 99%,2,4,6,3,3,5,3,6,5,4,4,4,4,6,1 (None or Nearly None),2,1 (None or Nearly None),6,3,2,5,26 - 50%,0 - 25%,0 - 25%,No,Christopher Nehaniv,Jason Foster,1st Round,1st Round,,UI/UX,Banking/Financial,Yes,22,No,No,No,Yes,Maybe,4,6,2,4,CMH,7,2,8,"Clubs, Hangouts with Friends",Yes,No,No,No,No,"Yes, done it before",No,"Yes, for the first time",No,"Yes, for the first time",No,3,4,Yes,,Do some solid extracurriculars and you'll be good,101L 3D vehicle modelling assignment,People
Female,Immigrants,Yes,Graduate,$50 - 100K,94,"Volunteer experience, Sports, Performing/Visual Arts, Religious Activity, Club, Club Leader, Non-Eng Job",AP,Ryerson,Yes,Hybrid,Semesters,78.42,85 - 89%,80 - 84%,60 - 64%,65 - 69%,80 - 84%,75 - 79%,85 - 89%,2,4,6,7 (Very useful),6,7 (Very useful),5,7 (Very Easy),6,4,1 (Very Difficult),5,4,6,1 (None or Nearly None),7 (All or Nearly All),3,7 (All or Nearly All),6,7 (All or Nearly All),6,76 - 100%,,,Yes,Nasim Paryab,Matt Borland,Continous,Continuous,,Product Design,Education,Yes,27,No,No,No,Yes,Maybe,7,8,1,7,UWP,4,10,1,"Design Team, Hangouts with Friends",No,No,No,No,No,No,No,No,No,No,No,,2,Yes,,"It will get hard, but don't stress too much ",101L Vehicle Design ,New
Male,Immigrants,No,Undergraduate,$50 - 100K,96,"Volunteer experience, Sports, Club Leader, Non-Eng Job","None, AP","McMaster University, University of Toronto, Western University",Yes,Hybrid,Semesters,87,80 - 84%,80 - 84%,90 - 94%,75 - 79%,90 - 94%,75 - 79%,95 - 99%,1 (Very useless),5,1 (Very useless),5,4,4,1 (Very useless),3,4,1 (Very Difficult),4,2,6,7 (Very Easy),1 (None or Nearly None),4,1 (None or Nearly None),4,4,4,1 (None or Nearly None),26 - 50%,51 - 75%,51 - 75%,No,Ewen MacDonald,Matt Borland,1st Round,2nd Round,,Product/Project Management,Banking/Financial,Yes,21,Yes,,No,No,No,2,7,4,4,CMH,6,3,7,"Sports, Design Team, Syde Projects, Hangouts with Friends",Yes,No,No,No,No,"Yes, done it before","Yes, for the first time",No,No,"Yes, for the first time",No,,6,Yes,"CFM , BBA","If you're having doubts, don't apply or apply I don't really care",121,Fun with some difficult times
Female,Immigrants,No,Undergraduate,$50 - 100K,95.3,"Volunteer experience, Performing/Visual Arts, Club, Non-Eng Job",None,"Ottawa/Carleton University, University of Toronto",Yes,Hybrid,Semesters,87.91,95 - 99%,90 - 94%,80 - 84%,80 - 84%,90 - 94%,75 - 79%,95 - 99%,2,6,5,4,5,6,4,7 (Very Easy),6,4,1 (Very Difficult),2,4,5,4,5,5,3,3,2,3,26 - 50%,26 - 50%,26 - 50%,No,Nasim Paryab,Matt Borland,1st Round,2nd Round,"""What is your life philosophy?""",Software,Government,Yes,20.19,Yes,,Yes,Yes,Yes,4,8,3,5,CMH,9,6,7,"Arts, Clubs, Design Team, Hangouts with Friends",Yes,No,No,No,No,"Yes, done it before",No,"Yes, for the first time",No,"Yes, for the first time","Yes, for the first time",22,5,Yes,,"You won't regret coming to SYDE - unless you hate making friends, getting jobs, and having fun!",101L Assignment 3 (the OnShape vehicle),F U N K Y
Male,Native-born,Yes,Undergraduate,$300K+,97,"Volunteer experience, Sports, Eng Job/Tech Internship","AP, Private School","McGill University, University of Toronto",Yes,Hybrid,Full year,83,70 - 74%,80 - 84%,75 - 79%,90 - 94%,90 - 94%,65 - 69%,90 - 94%,6,6,7 (Very useful),6,4,2,3,3,5,2,2,5,6,6,1 (None or Nearly None),7 (All or Nearly All),1 (None or Nearly None),5,4,3,2,,76 - 100%,,Yes,Sean Speziale,Matt Borland,External Application,Continuous,,Software,Software,Yes,20,No,Yes,,,Yes,2,8,0,7,Off-campus housing,0,5,0,Hangouts with Friends,Yes,Yes,Yes,No,Yes,"Yes, done it before","Yes, done it before","Yes, done it before",No,"Yes, for the first time","Yes, done it before",,6,Yes,Software Engineering,Get good grades,Design Dayz,Online
Male,Immigrants,No,High School,$50 - 100K,92,Club,None,Ottawa/Carleton University,Yes,Fully online,Quadmesters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Jason Foster,Sean Speziale,Continous,Continuous,,Software,Software,Yes,22,No,,,,Yes,5,9,0,7,,,9,1,,No,No,No,No,No,No,No,No,No,No,No,,,Yes,,,,
Female,Immigrants,Yes,Graduate,$150 - 200K,92.8,"Sports, Performing/Visual Arts",None,"McMaster University, University of Toronto, Western University",Yes,Fully in-person,Semesters,81,85 - 89%,85 - 89%,65 - 69%,75 - 79%,85 - 89%,80 - 84%,90 - 94%,4,4,4,5,6,6,5,3,3,3,5,4,6,6,1 (None or Nearly None),2,1 (None or Nearly None),2,1 (None or Nearly None),1 (None or Nearly None),1 (None or Nearly None),,0 - 25%,,No,Jason Foster,Jason Foster,1st Round,Direct Offer,i forgor,Software,Software,Yes,18,No,No,No,No,No,5,8,0,3,"Normal living arrangements, did online learning",1,1,0,something,Yes,No,No,No,No,No,No,No,No,No,No,0,5,Yes,,,121 (all of them),eh 
Female,Native-born,Yes,Graduate,$150 - 200K,98,"Volunteer experience, Sports, Performing/Visual Arts, Club, Club Leader, Non-Eng Job, Eng Job/Tech Internship",IB,"McMaster University, Queen's University, University of British Columbia",Yes,Hybrid,semesters but 2 classes per week and then switch each week to the other two classes,87,90 - 94%,95 - 99%,70 - 74%,85 - 89%,90 - 94%,85 - 89%,90 - 94%,3,5,3,4,6,6,3,6,7 (Very Easy),4,1 (Very Difficult),5,2,4,4,4,5,7 (All or Nearly All),5,6,4,76 - 100%,51 - 75%,26 - 50%,No,Jason Foster,,1st Round,1st Round,how good are you at networking? ,qa,manufactoring software,Yes,20,No,No,No,Yes,No,6,9,0,6,UWP,1,10,6,"Sports, Hangouts with Friends",No,No,No,No,No,No,No,No,No,No,No,,5,Yes,,defer if you're not feeling well ,101l summative test ,pain
Male,Native-born,No,Graduate,$200 - 250K,97.3,"Volunteer experience, Eng Job/Tech Internship",AP,"Ottawa/Carleton University, Queen's University",Yes,Hybrid,Quadmesters,85.64,90 - 94%,85 - 89%,70 - 74%,75 - 79%,90 - 94%,85 - 89%,90 - 94%,2,3,3,2,4,3,4,7 (Very Easy),6,6,3,2,7 (Very Easy),6,1 (None or Nearly None),2,2,2,2,2,2,0 - 25%,0 - 25%,0 - 25%,Yes,Sean Speziale,Kate Mercer,1st Round,1st Round,Why does everyone in your program like Python?,Security,Software,Yes,28,Yes,,No,Yes,Yes,4,8,2,7,UWP,3,5,5,"Syde Projects, Hangouts with Friends",Yes,Yes,Yes,Yes,Yes,"Yes, done it before",No,No,"Yes, done it before","Yes, done it before",No,,5,No,,"ELECTIVES ARE A SCAM (for the first couple years, as far as I can tell) BEWARE",WEIRD TINFOIL DOME THINGS,TSTSIAN
Male,Immigrants,Yes,Undergraduate,$100 - 150K,97,"Volunteer experience, Sports, Performing/Visual Arts, Club, Club Leader",TOPS,"University of Toronto, Western University, College outside Canada",Yes,Hybrid,Quadmesters,93,90 - 94%,90 - 94%,95 - 99%,95 - 99%,95 - 99%,85 - 89%,95 - 99%,2,5,5,5,5,7 (Very useful),5,7 (Very Easy),4,3,3,5,4,6,1 (None or Nearly None),2,2,5,1 (None or Nearly None),5,3,26 - 50%,0 - 25%,0 - 25%,No,Jason Foster,Kate Mercer,1st Round,1st Round,explaining some detail about the federal government ,Software,Automotive,Yes,24.54,No,No,No,No,No,3,10,0,3,CMH,2,7,4,"Design Team, Hangouts with Friends",Yes,No,No,No,Yes,"Yes, done it before",No,No,No,"Yes, for the first time",No,0,6,Yes,,"If you want the nicest and best co-op community in UW Eng, SYDE is for you ",SYDE 101L Assignment 3 (designing your own vehicle in Onshape) ,based
Non-binary,Immigrants,No,Undergraduate,$300K+,95,"Volunteer experience, Club Leader","AP, Private School","McGill University, University of British Columbia, College outside Canada",Yes,Fully in-person,Full year,,85 - 89%,90 - 94%,75 - 79%,75 - 79%,85 - 89%,75 - 79%,85 - 89%,4,5,5,5,3,6,5,7 (Very Easy),6,2,1 (Very Difficult),3,2,6,2,4,2,7 (All or Nearly All),4,3,3,0 - 25%,51 - 75%,0 - 25%,No,Nasim Paryab,Kate Mercer,Continous,Continuous,,Software,Manufactoring,Yes,18,No,Yes,Yes,Yes,Yes,3,6,0,4,UWP,3,1,0,Hangouts with Friends,Yes,Yes,Yes,No,Yes,"Yes, done it before",No,No,No,"Yes, for the first time",No,0,2,Yes,,,101L Assignment 3,Fun!!
